deskripsi,category,source
cemilan,makanan,df2
indomaret,belanja,df2
makan siang,makanan,df2
internet,tagihan,df2
kopi pagi,makanan,df2
top up game,hiburan,df2
top up game,hiburan,df2
streaming,hiburan,df2
internet,tagihan,df2
kebutuhan pokok,belanja,df2
internet,tagihan,df2
alfamart,belanja,df2
indomaret,belanja,df2
iuran bulanan,tagihan,df2
listrik,tagihan,df2
jajan sore,makanan,df2
kebutuhan pokok,belanja,df2
bioskop,hiburan,df2
bioskop,hiburan,df2
kebutuhan pokok,belanja,df2
gofood,makanan,df2
kopi pagi,makanan,df2
bpjs,tagihan,df2
kebutuhan pokok,belanja,df2
jajan sore,makanan,df2
parkir,tagihan,df2
gofood,makanan,df2
listrik,tagihan,df2
gofood,makanan,df2
makan malam,makanan,df2
tissue,belanja,df2
tissue,belanja,df2
warung nasi,makanan,df2
listrik,tagihan,df2
main ke mall,hiburan,df2
indomaret,belanja,df2
pulsa,tagihan,df2
warung nasi,makanan,df2
warung nasi,makanan,df2
alfamart,belanja,df2
belanja mingguan,belanja,df2
iuran bulanan,tagihan,df2
makan malam,makanan,df2
indomaret,belanja,df2
alfamart,belanja,df2
belanja mingguan,belanja,df2
listrik,tagihan,df2
makan malam,makanan,df2
main ke mall,hiburan,df2
bpjs,tagihan,df2
bpjs,tagihan,df2
pulsa,tagihan,df2
parkir,tagihan,df2
air,tagihan,df2
bpjs,tagihan,df2
pulsa,tagihan,df2
warung nasi,makanan,df2
air,tagihan,df2
air,tagihan,df2
air,tagihan,df2
nasi timbel,makanan,synthetic
nasi bogana,makanan,synthetic
nasi bakar ayam,makanan,synthetic
nasi goreng pete,makanan,synthetic
nasi goreng teri,makanan,synthetic
nasi goreng jawa,makanan,synthetic
nasi goreng kampung,makanan,synthetic
nasi goreng babat,makanan,synthetic
nasi goreng gila,makanan,synthetic
nasi goreng seafood,makanan,synthetic
mie kocok bandung,makanan,synthetic
mie celor palembang,makanan,synthetic
mie godog jawa,makanan,synthetic
mie tek tek,makanan,synthetic
mie aceh,makanan,synthetic
mie cakalang,makanan,synthetic
mie koclok,makanan,synthetic
soto betawi,makanan,synthetic
soto madura,makanan,synthetic
soto lamongan,makanan,synthetic
soto banjar,makanan,synthetic
soto kudus,makanan,synthetic
soto boyolali,makanan,synthetic
soto lenthok,makanan,synthetic
soto babat,makanan,synthetic
sate padang,makanan,synthetic
sate lilit bali,makanan,synthetic
sate buntel solo,makanan,synthetic
sate maranggi,makanan,synthetic
sate taichan,makanan,synthetic
sate klatak,makanan,synthetic
sate kelinci,makanan,synthetic
ayam betutu,makanan,synthetic
ayam taliwang,makanan,synthetic
bebek goreng,makanan,synthetic
bebek betutu,makanan,synthetic
bebek pedas,makanan,synthetic
itik goreng,makanan,synthetic
ayam panggang,makanan,synthetic
gudeg jogja,makanan,synthetic
tengkleng solo,makanan,synthetic
tongseng kambing,makanan,synthetic
garang asem,makanan,synthetic
opor ayam,makanan,synthetic
semur jengkol,makanan,synthetic
semur daging,makanan,synthetic
oseng mercon,makanan,synthetic
tumis kangkung,makanan,synthetic
cap cay goreng,makanan,synthetic
kwetiau goreng,makanan,synthetic
kwetiau rebus,makanan,synthetic
bihun goreng,makanan,synthetic
bihun rebus,makanan,synthetic
laksa,makanan,synthetic
ketupat sayur,makanan,synthetic
lontong cap gomeh,makanan,synthetic
pecel madiun,makanan,synthetic
lotek,makanan,synthetic
karedok,makanan,synthetic
rujak cingur,makanan,synthetic
tahu tek,makanan,synthetic
tahu campur,makanan,synthetic
lontong balap,makanan,synthetic
kupat tahu,makanan,synthetic
sop kambing,makanan,synthetic
sop iga,makanan,synthetic
sop buntut goreng,makanan,synthetic
sop kikil,makanan,synthetic
empal gentong,makanan,synthetic
nasi jamblang,makanan,synthetic
nasi lengko,makanan,synthetic
asinan betawi,makanan,synthetic
asinan bogor,makanan,synthetic
es selendang mayang,makanan,synthetic
es doger,makanan,synthetic
es puter,makanan,synthetic
es teler,makanan,synthetic
es buah,makanan,synthetic
es campur,makanan,synthetic
kolak pisang,makanan,synthetic
kolak ubi,makanan,synthetic
bubur ketan hitam,makanan,synthetic
bubur sumsum,makanan,synthetic
bubur ayam spesial,makanan,synthetic
kue cubir,makanan,synthetic
kue lumpur,makanan,synthetic
onde onde,makanan,synthetic
klepon,makanan,synthetic
cenil,makanan,synthetic
getuk,makanan,synthetic
nagasari,makanan,synthetic
lemper,makanan,synthetic
risol,makanan,synthetic
pastel,makanan,synthetic
lumpia semarang,makanan,synthetic
martabak telur,makanan,synthetic
martabak manis,makanan,synthetic
terang bulan,makanan,synthetic
kue pukis,makanan,synthetic
kue rangi,makanan,synthetic
kue pancong,makanan,synthetic
beli makan siang,makanan,synthetic
beli makan malam,makanan,synthetic
beli sarapan pagi,makanan,synthetic
beli nasi kotak,makanan,synthetic
beli catering harian,makanan,synthetic
pesan catering kantor,makanan,synthetic
jajan kantin sekolah,makanan,synthetic
beli kue ulang tahun teman,makanan,synthetic
pesan kue tart,makanan,synthetic
beli camilan sore hari,makanan,synthetic
beli jajanan pasar pagi,makanan,synthetic
beli gorengan sore,makanan,synthetic
beli cireng,makanan,synthetic
beli cilok,makanan,synthetic
beli seblak,makanan,synthetic
beli cuanki,makanan,synthetic
beli mie level pedas,makanan,synthetic
beli cimol,makanan,synthetic
makan di food court mall,makanan,synthetic
makan di pinggir jalan,makanan,synthetic
jajan di foodcourt,makanan,synthetic
makan di kaki lima,makanan,synthetic
beli pisang bakar,makanan,synthetic
beli jagung bakar,makanan,synthetic
beli ubi bakar,makanan,synthetic
beli sosis bakar,makanan,synthetic
beli kebab,makanan,synthetic
beli hotdog pinggir jalan,makanan,synthetic
beli dimsum,makanan,synthetic
beli siomay goreng,makanan,synthetic
beli molen bandung,makanan,synthetic
beli dorayaki,makanan,synthetic
beli takoyaki,makanan,synthetic
beli okonomiyaki,makanan,synthetic
beli ramen,makanan,synthetic
beli udon,makanan,synthetic
beli soba,makanan,synthetic
beli onigiri,makanan,synthetic
beli kimbap,makanan,synthetic
beli tteokbokki,makanan,synthetic
beli ramyeon,makanan,synthetic
beli nasi lemak,makanan,synthetic
beli char kway teow,makanan,synthetic
beli pho vietnam,makanan,synthetic
beli banh mi,makanan,synthetic
beli spring roll vietnam,makanan,synthetic
beli kebab turki,makanan,synthetic
beli shawarma,makanan,synthetic
beli hummus,makanan,synthetic
beli makanan frozen,makanan,synthetic
beli frozen food,makanan,synthetic
beli nugget ayam,makanan,synthetic
beli sosis frozen,makanan,synthetic
beli dimsum frozen,makanan,synthetic
beli gyoza frozen,makanan,synthetic
beli udang frozen,makanan,synthetic
beli bakso ikan frozen,makanan,synthetic
beli mie instan premium,makanan,synthetic
beli indomie goreng spesial,makanan,synthetic
beli indomie rebus telur,makanan,synthetic
beli pop mie,makanan,synthetic
beli bihun instan,makanan,synthetic
beli makaroni rebus,makanan,synthetic
jajan boba susu,makanan,synthetic
beli thai tea,makanan,synthetic
beli es kopi susu,makanan,synthetic
beli matcha latte,makanan,synthetic
beli teh tarik,makanan,synthetic
beli bandrek,makanan,synthetic
beli wedang jahe,makanan,synthetic
beli wedang uwuh,makanan,synthetic
beli cincau hitam,makanan,synthetic
beli cendol,makanan,synthetic
beli dawet,makanan,synthetic
beli es goyobod,makanan,synthetic
kopi kenangan ukuran large,makanan,synthetic
fore coffee americano,makanan,synthetic
janji jiwa kopi susu,makanan,synthetic
es teh manis jumbo,makanan,synthetic
mixue ice cream,makanan,synthetic
chatime brown sugar,makanan,synthetic
jco donuts selusin,makanan,synthetic
dunkin donuts,makanan,synthetic
breadtalk roti tawar,makanan,synthetic
sari roti gandum,makanan,synthetic
beli pizza slice,makanan,synthetic
beli burger doble,makanan,synthetic
beli chicken wrap,makanan,synthetic
beli hotdog roti,makanan,synthetic
makan di restoran padang,makanan,synthetic
makan di restoran chinese,makanan,synthetic
makan di restoran korea bbq,makanan,synthetic
makan di restoran jepang,makanan,synthetic
makan di restoran thailand,makanan,synthetic
makan di restoran western,makanan,synthetic
dinner di all you can eat,makanan,synthetic
makan buffet restoran,makanan,synthetic
beli beras 5 kg,makanan,synthetic
beli beras 10 kg,makanan,synthetic
beli minyak goreng 2 liter,makanan,synthetic
beli telur 1 papan,makanan,synthetic
beli sayur bayam,makanan,synthetic
beli sayur kangkung,makanan,synthetic
beli wortel,makanan,synthetic
beli kentang,makanan,synthetic
beli bawang merah,makanan,synthetic
beli bawang putih,makanan,synthetic
beli cabe rawit,makanan,synthetic
beli tomat,makanan,synthetic
beli jahe,makanan,synthetic
beli kunyit,makanan,synthetic
beli daging sapi 1 kg,makanan,synthetic
beli daging ayam 1 kg,makanan,synthetic
beli ikan tongkol,makanan,synthetic
beli ikan lele,makanan,synthetic
beli udang segar,makanan,synthetic
beli cumi segar,makanan,synthetic
beli tahu putih,makanan,synthetic
beli tempe,makanan,synthetic
beli oncom,makanan,synthetic
beli buah apel,makanan,synthetic
beli buah jeruk,makanan,synthetic
beli buah mangga,makanan,synthetic
beli buah semangka,makanan,synthetic
beli susu uht,makanan,synthetic
beli yogurt plain,makanan,synthetic
beli keju cheddar,makanan,synthetic
beli roti tawar,makanan,synthetic
belanja mingguan supermarket,makanan,synthetic
belanja bulanan hypermart,makanan,synthetic
belanja di indomaret,makanan,synthetic
belanja di alfamart,makanan,synthetic
belanja di giant,makanan,synthetic
belanja di superindo,makanan,synthetic
isi bensin pertamax plus,transportasi,synthetic
isi bensin shell v power,transportasi,synthetic
isi bensin pertamina dex,transportasi,synthetic
beli biosolar,transportasi,synthetic
isi bensin pertalite motor,transportasi,synthetic
isi bensin premium,transportasi,synthetic
bayar spbu pertamina,transportasi,synthetic
isi bensin full tank motor,transportasi,synthetic
isi bensin setengah tangki,transportasi,synthetic
beli pertamax turbo,transportasi,synthetic
ganti oli gardan motor,transportasi,synthetic
ganti oli mesin motor matik,transportasi,synthetic
ganti oli mesin motor manual,transportasi,synthetic
ganti oli transmisi mobil,transportasi,synthetic
ganti filter oli motor,transportasi,synthetic
ganti filter udara motor,transportasi,synthetic
ganti busi iridium motor,transportasi,synthetic
ganti busi mobil,transportasi,synthetic
ganti rantai motor,transportasi,synthetic
ganti kampas kopling,transportasi,synthetic
ganti kampas rem motor depan,transportasi,synthetic
ganti kampas rem belakang,transportasi,synthetic
ganti shock breaker depan,transportasi,synthetic
ganti shock breaker belakang,transportasi,synthetic
servis karburator motor,transportasi,synthetic
servis injeksi motor,transportasi,synthetic
ganti knalpot motor baru,transportasi,synthetic
ganti spion motor,transportasi,synthetic
ganti kaca spion mobil kanan,transportasi,synthetic
servis rem cakram,transportasi,synthetic
ganti brake fluid,transportasi,synthetic
ganti coolant radiator,transportasi,synthetic
servis ac mobil lengkap,transportasi,synthetic
isi freon ac mobil,transportasi,synthetic
ganti wiper mobil depan,transportasi,synthetic
ganti karet wiper,transportasi,synthetic
ganti aki motor baru,transportasi,synthetic
ganti aki mobil baru,transportasi,synthetic
poles bodi mobil,transportasi,synthetic
detailing eksterior mobil,transportasi,synthetic
coating keramik mobil,transportasi,synthetic
protective film mobil,transportasi,synthetic
cuci steam motor satuan,transportasi,synthetic
cuci steam mobil,transportasi,synthetic
cuci motor kering,transportasi,synthetic
cuci mobil manual,transportasi,synthetic
tambal ban tubeless motor,transportasi,synthetic
tambal ban dalam motor,transportasi,synthetic
tambal ban mobil tubeless,transportasi,synthetic
ganti ban motor baru,transportasi,synthetic
ganti ban mobil satu,transportasi,synthetic
ganti ban mobil empat,transportasi,synthetic
balancing roda mobil,transportasi,synthetic
spooring roda,transportasi,synthetic
ganti velg motor jari jari,transportasi,synthetic
ganti velg racing motor,transportasi,synthetic
biaya derek mobil mogok,transportasi,synthetic
biaya towing ke bengkel,transportasi,synthetic
biaya derek motor mogok,transportasi,synthetic
biaya derek darurat,transportasi,synthetic
naik becak onthel,transportasi,synthetic
naik delman wisata,transportasi,synthetic
naik bajaj jakarta,transportasi,synthetic
naik bemo surabaya,transportasi,synthetic
naik angkot biru,transportasi,synthetic
naik angkutan kota,transportasi,synthetic
naik mikrolet jakarta,transportasi,synthetic
naik metromini,transportasi,synthetic
naik bus akap malam,transportasi,synthetic
naik travel antar kota,transportasi,synthetic
naik bus pariwisata,transportasi,synthetic
naik bus damri bandara,transportasi,synthetic
sewa mobil harian lepas kunci,transportasi,synthetic
rental mobil minivan,transportasi,synthetic
sewa motor untuk harian,transportasi,synthetic
sewa motor bulanan,transportasi,synthetic
sewa sepeda onthel,transportasi,synthetic
sewa sepeda listrik per jam,transportasi,synthetic
naik sepeda listrik sewaan,transportasi,synthetic
bayar e-bike sewa,transportasi,synthetic
parkir gedung perkantoran,transportasi,synthetic
parkir valet mall,transportasi,synthetic
parkir basement gedung,transportasi,synthetic
parkir outdoor lapangan,transportasi,synthetic
parkir harian dekat kantor,transportasi,synthetic
parkir bulanan gedung,transportasi,synthetic
parkir motor langganan,transportasi,synthetic
bayar parkir inap,transportasi,synthetic
parkir bandara per hari,transportasi,synthetic
parkir stasiun,transportasi,synthetic
tiket feri antar pulau,transportasi,synthetic
tiket kapal ro ro,transportasi,synthetic
tiket speedboat,transportasi,synthetic
sewa perahu nelayan,transportasi,synthetic
naik kapal pelni,transportasi,synthetic
tiket kapal laut,transportasi,synthetic
bayar tol jakarta tangerang,transportasi,synthetic
bayar tol cipularang,transportasi,synthetic
bayar tol jagorawi jakarta,transportasi,synthetic
bayar tol cikampek,transportasi,synthetic
bayar tol dalam kota,transportasi,synthetic
bayar tol bali mandara,transportasi,synthetic
bayar tol surabaya gempol,transportasi,synthetic
bayar tol trans jawa,transportasi,synthetic
top up kartu flazz bca,transportasi,synthetic
top up e-money mandiri,transportasi,synthetic
top up kartu tapcash bni,transportasi,synthetic
top up brizzi bri,transportasi,synthetic
top up kartu jakcard,transportasi,synthetic
isi kartu multitrip krl,transportasi,synthetic
bayar tol pakai e-money,transportasi,synthetic
tap in mrt jakarta,transportasi,synthetic
bayar transjakarta kartu,transportasi,synthetic
naik bus kota bayar,transportasi,synthetic
taksi bluebird,transportasi,synthetic
naik express taxi,transportasi,synthetic
shuttle bus bandara,transportasi,synthetic
bayar shuttle bandara,transportasi,synthetic
biaya pajak kendaraan tahunan,transportasi,synthetic
balik nama kendaraan,transportasi,synthetic
biaya mutasi stnk,transportasi,synthetic
perpanjang sim c,transportasi,synthetic
perpanjang sim a,transportasi,synthetic
buat sim baru,transportasi,synthetic
beli helm full face baru,transportasi,synthetic
beli helm half face,transportasi,synthetic
beli jaket riding motor,transportasi,synthetic
beli sarung tangan touring,transportasi,synthetic
beli jas hujan ponco,transportasi,synthetic
beli jas hujan setelan,transportasi,synthetic
beli kunci gembok motor,transportasi,synthetic
beli kunci stang,transportasi,synthetic
beli gps tracker motor,transportasi,synthetic
beli dashcam mobil,transportasi,synthetic
bayar tilang online,transportasi,synthetic
bayar denda tilang etle,transportasi,synthetic
biaya sim keliling,transportasi,synthetic
perpanjang sim keliling,transportasi,synthetic
tiket pesawat ke bali,travel,synthetic
tiket pesawat ke lombok,travel,synthetic
tiket pesawat ke labuan bajo,travel,synthetic
tiket pesawat ke raja ampat,travel,synthetic
tiket pesawat ke manado,travel,synthetic
tiket pesawat ke makassar,travel,synthetic
tiket pesawat ke medan,travel,synthetic
tiket pesawat ke padang,travel,synthetic
tiket pesawat ke palembang,travel,synthetic
tiket pesawat ke balikpapan,travel,synthetic
tiket pesawat ke pontianak,travel,synthetic
tiket pesawat ke jayapura,travel,synthetic
tiket pesawat ke kupang,travel,synthetic
tiket pesawat ke ambon,travel,synthetic
tiket pesawat ke ternate,travel,synthetic
tiket pesawat ke sorong,travel,synthetic
beli tiket garuda indonesia,travel,synthetic
beli tiket lion air,travel,synthetic
beli tiket citilink murah,travel,synthetic
beli tiket airasia,travel,synthetic
beli tiket batik air,travel,synthetic
beli tiket super air jet,travel,synthetic
beli tiket transnusa,travel,synthetic
beli tiket wings air,travel,synthetic
tiket pesawat ke bangkok,travel,synthetic
tiket pesawat ke singapura,travel,synthetic
tiket pesawat ke kuala lumpur,travel,synthetic
tiket pesawat ke tokyo,travel,synthetic
tiket pesawat ke seoul,travel,synthetic
tiket pesawat ke hongkong,travel,synthetic
tiket pesawat ke taiwan,travel,synthetic
tiket pesawat ke shanghai,travel,synthetic
tiket pesawat ke dubai,travel,synthetic
tiket pesawat ke abu dhabi,travel,synthetic
tiket pesawat ke london,travel,synthetic
tiket pesawat ke paris,travel,synthetic
tiket pesawat ke amsterdam,travel,synthetic
tiket pesawat ke frankfurt,travel,synthetic
tiket pesawat ke sydney,travel,synthetic
tiket pesawat ke melbourne,travel,synthetic
tiket pesawat ke new york,travel,synthetic
tiket pesawat ke los angeles,travel,synthetic
tiket pesawat ke istanbul,travel,synthetic
tiket pesawat ke cairo,travel,synthetic
pesan tiket via traveloka,travel,synthetic
beli tiket via tiket.com,travel,synthetic
beli tiket via pegipegi,travel,synthetic
beli tiket via wego,travel,synthetic
beli tiket via google flights,travel,synthetic
booking hotel via agoda,travel,synthetic
booking hotel booking.com,travel,synthetic
reservasi hotel via traveloka,travel,synthetic
pesan hotel via tiket.com,travel,synthetic
hotel bintang 3 di bali,travel,synthetic
hotel bintang 4 jakarta,travel,synthetic
hotel bintang 5 singapura,travel,synthetic
hotel budget murah,travel,synthetic
hotel syariah yogyakarta,travel,synthetic
resort pantai lombok,travel,synthetic
villa private pool bali,travel,synthetic
villa kolam renang puncak,travel,synthetic
sewa villa keluarga,travel,synthetic
booking villa lembang,travel,synthetic
booking villa puncak,travel,synthetic
booking villa seminyak,travel,synthetic
penginapan kapsul,travel,synthetic
hostel dormitory,travel,synthetic
guest house murah,travel,synthetic
homestay lokal,travel,synthetic
losmen pinggiran kota,travel,synthetic
wisma backpacker,travel,synthetic
glamping di gunung,travel,synthetic
camping berbayar di alam,travel,synthetic
bayar breakfast hotel,travel,synthetic
upgrade kamar superior,travel,synthetic
bayar late check out hotel,travel,synthetic
extend masa menginap,travel,synthetic
laundry ekspres hotel,travel,synthetic
room service hotel,travel,synthetic
paket wisata bali 3 hari,travel,synthetic
paket wisata lombok 4 hari,travel,synthetic
paket wisata labuan bajo 5 hari,travel,synthetic
paket wisata raja ampat,travel,synthetic
paket wisata belitung 3 hari,travel,synthetic
paket wisata wakatobi,travel,synthetic
paket wisata bromo ijen,travel,synthetic
paket wisata dieng,travel,synthetic
paket wisata danau toba,travel,synthetic
paket wisata manado bunaken,travel,synthetic
paket honeymoon bali,travel,synthetic
