deskripsi,category,tanggal,nominal
tunjangan untuk tamasya mingguan,travel,2026-03-19 09:09:37.369057,38000
hadiah wisuda untuk sepupu,sosial,2026-03-19 09:09:37.369057,239000
bergabung dengan masyarakat sejarah,belanja,2026-03-20 09:09:37.369057,145000
tarif feri ke resor terdekat,transportasi,2026-03-21 09:09:37.369057,357000
biaya pendaftaran mata kuliah akademik,pendidikan,2026-03-21 09:09:37.369057,260000
mengikuti kelas melukis cat air,pendidikan,2026-03-21 09:09:37.369057,276000
seminar literasi keuangan,pendidikan,2026-03-22 09:09:37.369057,443000
aplikasi berbagi perjalanan untuk keperluan,transportasi,2026-03-22 09:09:37.369057,154000
meneliti psikologi dalam sebuah seminar,pendidikan,2026-03-22 09:09:37.369057,348000
membeli sabun mandi yang menghidrasi dari olay,kesehatan dan perawatan diri,2026-03-22 09:09:37.369057,424000
mengikuti kelas menulis nonfiksi kreatif,pendidikan,2026-03-23 09:09:37.369057,412000
krim anti penuaan dari olay,kesehatan dan perawatan diri,2026-03-24 09:09:37.369057,392000
tagihan internet,tagihan,2026-03-24 09:09:37.369057,612000
membeli sepasang sepatu ortopedi,kesehatan dan perawatan diri,2026-03-24 09:09:37.369057,382000
petani memasarkan sarapan organik,makanan,2026-03-24 09:09:37.369057,24000
atasan yoga dari alo yoga,belanja,2026-03-24 09:09:37.369057,48000
biaya layanan pembersihan rumah,tagihan,2026-03-25 09:09:37.369057,548000
pakaian kasual ralph lauren,belanja,2026-03-25 09:09:37.369057,394000
peralatan masak keramik dari le creuset,belanja,2026-03-25 09:09:37.369057,155000
belajar untuk gmat,pendidikan,2026-03-25 09:09:37.369057,62000
bayar makan bareng gebetan,sosial,2026-03-25 09:09:37.369057,159000
kursus bahasa,pendidikan,2026-03-25 09:09:37.369057,321000
keanggotaan sewa mobil bulanan,transportasi,2026-03-25 09:09:37.369057,466000
tiket pesawat untuk perjalanan akhir pekan,transportasi,2026-03-25 09:09:37.369057,239000
beli makan siang,makanan,2026-03-25 09:09:37.369057,39000
menghadiri rangkaian kuliah ekonomi,pendidikan,2026-03-25 09:09:37.369057,244000
travel insurance beli,travel,2026-03-25 09:09:37.369057,460000
tagihan air,tagihan,2026-03-26 09:09:37.369057,153000
naik bemo surabaya,transportasi,2026-03-26 09:09:37.369057,485000
tunjangan untuk membeli gadget teknologi,belanja,2026-03-26 09:09:37.369057,418000
losion tubuh dari aveeno,kesehatan dan perawatan diri,2026-03-27 09:09:37.369057,259000
layanan mobil vip untuk acara khusus,transportasi,2026-03-27 09:09:37.369057,87000
menginap di hotel,travel,2026-03-27 09:09:37.369057,310000
anggaran bulanan untuk menghadiri webinar teknologi,tagihan,2026-03-27 09:09:37.369057,232000
rental mobil wisata,travel,2026-03-28 09:09:37.369057,226000
jamu segar dari pasar lokal,makanan,2026-03-28 09:09:37.369057,49000
biaya pengumpulan sampah bulanan,tagihan,2026-03-28 09:09:37.369057,924000
teko keramik berkualitas tinggi dari teavana,belanja,2026-03-28 09:09:37.369057,75000
tabir surya dari la roche-posay,kesehatan dan perawatan diri,2026-03-28 09:09:37.369057,48000
sepatu hiking ringan dari salomon,belanja,2026-03-28 09:09:37.369057,264000
pemesanan potong rambut profesional,kesehatan dan perawatan diri,2026-03-29 09:09:37.369057,373000
pendaftaran kelas memasak,pendidikan,2026-03-29 09:09:37.369057,201000
pengiriman buah segar dari farmbox direct,makanan,2026-03-29 09:09:37.369057,30000
top up emoney dari atm mandiri,lainnya,2026-03-30 09:09:37.369057,118000
menyelesaikan kursus tentang kecerdasan buatan,pendidikan,2026-03-30 09:09:37.369057,292000
makan malam di kafe puncak tebing,makanan,2026-03-31 09:09:37.369057,20000
membeli kursus kesehatan mental,kesehatan dan perawatan diri,2026-03-31 09:09:37.369057,108000
tagihan utilitas bulanan untuk kondominium,tagihan,2026-03-31 09:09:37.369057,496000
menjadi sukarelawan di proyek konservasi laut,sosial,2026-04-01 09:09:37.369057,135000
tiket kereta api ke chicago,transportasi,2026-04-01 09:09:37.369057,366000
mengikuti kelas menulis kreatif,pendidikan,2026-04-01 09:09:37.369057,378000
mangkuk pencampur keramik dari mason cash,belanja,2026-04-02 09:09:37.369057,230000
memesan perjalanan gua berpemandu,travel,2026-04-03 09:09:37.369057,85000
sate lilit bali,makanan,2026-04-03 09:09:37.369057,46000
sewa mobil untuk petualangan akhir pekan,transportasi,2026-04-03 09:09:37.369057,165000
uang saku mingguan untuk berkontribusi pada tujuan keluarga,sosial,2026-04-04 09:09:37.369057,222000
makan malam di bar tapas spanyol,makanan,2026-04-04 09:09:37.369057,46000
tarif taksi ke kantor,transportasi,2026-04-04 09:09:37.369057,431000
berlangganan digital national geographic,hiburan,2026-04-05 09:09:37.369057,43000
membeli langganan aplikasi kebugaran,kesehatan dan perawatan diri,2026-04-05 09:09:37.369057,261000
hub rumah pintar dari samsung smartthings,belanja,2026-04-06 09:09:37.369057,156000
membeli tantangan kebugaran yang dipandu,kesehatan dan perawatan diri,2026-04-07 09:09:37.369057,284000
membeli gelang kebugaran pintar,kesehatan dan perawatan diri,2026-04-07 09:09:37.369057,48000
aerator keran hemat air dari neoperl,tagihan,2026-04-07 09:09:37.369057,555000
biaya sewa studio musik per jam,hiburan,2026-04-07 09:09:37.369057,176000
tarif taksi ke hotel,transportasi,2026-04-08 09:09:37.369057,37000
makan malam di restoran makanan laut baru,makanan,2026-04-08 09:09:37.369057,15000
makanan jalanan gourmet dari pasar tersembunyi,makanan,2026-04-08 09:09:37.369057,39000
berlangganan atlantik,hiburan,2026-04-09 09:09:37.369057,107000
bersepeda di sepanjang pantai bersama teman-teman,sosial,2026-04-09 09:09:37.369057,189000
mantel musim dingin,belanja,2026-04-09 09:09:37.369057,459000
isi ulang gas di stasiun layanan,transportasi,2026-04-09 09:09:37.369057,18000
pameran budaya bersama rombongan,sosial,2026-04-09 09:09:37.369057,56000
bergabung dengan kelas pilates,kesehatan dan perawatan diri,2026-04-09 09:09:37.369057,154000
berlangganan the washington post,hiburan,2026-04-09 09:09:37.369057,126000
tarif uber ke galeri seni,transportasi,2026-04-09 09:09:37.369057,61000
mendaftar untuk kelas yoga pemula,kesehatan dan perawatan diri,2026-04-10 09:09:37.369057,469000
belajar untuk mendapatkan gelar dalam ilmu politik,pendidikan,2026-04-10 09:09:37.369057,301000
makan malam di restoran steak brasil,makanan,2026-04-10 09:09:37.369057,28000
membeli panduan meditasi dan perhatian,kesehatan dan perawatan diri,2026-04-11 09:09:37.369057,326000
menguji krim mata retinol baru dari roc,kesehatan dan perawatan diri,2026-04-11 09:09:37.369057,94000
hadiah khitanan anak tetangga,sosial,2026-04-11 09:09:37.369057,238000
biaya ekskul basket,pendidikan,2026-04-12 09:09:37.369057,131000
anggaran bulanan untuk mengikuti program kebugaran keluarga,sosial,2026-04-12 09:09:37.369057,100000
pakaian kasual dari h&m,belanja,2026-04-12 09:09:37.369057,480000
mengambil kelas tentang strategi pemasaran,pendidikan,2026-04-12 09:09:37.369057,233000
makan malam di restoran maroko,makanan,2026-04-13 09:09:37.369057,34000
makan malam di restoran baru,makanan,2026-04-13 09:09:37.369057,31000
celana pendek kasual american eagle untuk musim panas,belanja,2026-04-13 09:09:37.369057,417000
mengejutkan teman dengan workshop kaligrafi,sosial,2026-04-13 09:09:37.369057,90000
tiket sewa sepeda tahunan,transportasi,2026-04-14 09:09:37.369057,99000
sabuk modis dari fossil,belanja,2026-04-14 09:09:37.369057,100000
tagihan toko perbaikan rumah dari home depot,tagihan,2026-04-15 09:09:37.369057,319000
biaya perbaikan rumah,tagihan,2026-04-15 09:09:37.369057,293000
lampu depan isi ulang dari coast,belanja,2026-04-15 09:09:37.369057,131000
kelas memasak gourmet dengan seorang teman,sosial,2026-04-15 09:09:37.369057,277000
sepatu lari dari asics,belanja,2026-04-15 09:09:37.369057,131000
termostat wifi pintar dari honeywell,belanja,2026-04-16 09:09:37.369057,229000
biaya derek darurat,transportasi,2026-04-16 09:09:37.369057,235000
beli legging olahraga,belanja,2026-04-16 09:09:37.369057,229000
tunjangan pembelian gadget belajar,pendidikan,2026-04-18 09:09:37.369057,109000
malam menonton film di amc,hiburan,2026-04-18 09:09:37.369057,212000
menghadiri konser musik klasik,hiburan,2026-04-18 09:09:37.369057,186000
makan siang di kafe taman kota,makanan,2026-04-19 09:09:37.369057,34000
biaya untuk program gelar online,pendidikan,2026-04-19 09:09:37.369057,470000
tunjangan biaya jalan-jalan keluarga,sosial,2026-04-19 09:09:37.369057,246000
menjelajahi produk kecantikan bebas kekejaman dari tarte,kesehatan dan perawatan diri,2026-04-19 09:09:37.369057,142000
membeli skala komposisi tubuh,kesehatan dan perawatan diri,2026-04-19 09:09:37.369057,487000
memesan tur museum berpemandu,hiburan,2026-04-19 09:09:37.369057,468000
beli soba,makanan,2026-04-19 09:09:37.369057,22000
izin parkir bulanan untuk penumpang,transportasi,2026-04-19 09:09:37.369057,281000
tarif taksi ke hotel,transportasi,2026-04-20 09:09:37.369057,288000
tiket pesawat ke frankfurt,travel,2026-04-20 09:09:37.369057,150000
berlangganan bulanan ke blue apron,makanan,2026-04-21 09:09:37.369057,42000
kursus node js backend,pendidikan,2026-04-21 09:09:37.369057,145000
makan malam di restoran spanyol,makanan,2026-04-21 09:09:37.369057,24000
menghadiri seminar tentang kelestarian lingkungan,pendidikan,2026-04-21 09:09:37.369057,383000
hadiah tahun baru untuk saudara kandung,sosial,2026-04-21 09:09:37.369057,255000
reservasi makan malam di restoran kelas atas,makanan,2026-04-22 09:09:37.369057,15000
makan siang hari minggu bersama rekan kerja,sosial,2026-04-22 09:09:37.369057,291000
festival seni bersama tetangga,sosial,2026-04-22 09:09:37.369057,135000
berpartisipasi dalam lokakarya penyutradaraan dan produksi film,pendidikan,2026-04-22 09:09:37.369057,224000
tamasya konser bersama teman-teman,sosial,2026-04-23 09:09:37.369057,95000
setelan calvin klein,belanja,2026-04-23 09:09:37.369057,339000
menganalisis data bisnis,pendidikan,2026-04-23 09:09:37.369057,351000
membeli lulur yang menghidrasi dari soap & glory,kesehatan dan perawatan diri,2026-04-23 09:09:37.369057,431000
memainkan biola,pendidikan,2026-04-24 09:09:37.369057,21000
beli hadiah spesial atasan kantor,sosial,2026-04-24 09:09:37.369057,294000
belajar untuk mendapatkan gelar dalam ilmu politik,pendidikan,2026-04-24 09:09:37.369057,14000
kelas membuat sushi,makanan,2026-04-24 09:09:37.369057,17000
kerudung pernikahan dari david's bridal,belanja,2026-04-24 09:09:37.369057,355000
lokakarya pembinaan kehidupan,pendidikan,2026-04-25 09:09:37.369057,374000
mencoba concealer baru dari nars,kesehatan dan perawatan diri,2026-04-25 09:09:37.369057,350000
tur galeri seni bersama teman-teman,sosial,2026-04-25 09:09:37.369057,158000
malam teman di bar lokal,sosial,2026-04-25 09:09:37.369057,181000
membeli matras yoga baru dengan penanda pelurusan,kesehatan dan perawatan diri,2026-04-26 09:09:37.369057,450000
membeli matras yoga berkualitas tinggi,sosial,2026-04-26 09:09:37.369057,239000
tunjangan untuk liburan akhir pekan,travel,2026-04-27 09:09:37.369057,232000
gaun bisnis dari hugo boss,belanja,2026-04-27 09:09:37.369057,357000
atasan yoga atlet untuk berolahraga,belanja,2026-04-27 09:09:37.369057,424000
makan malam di restoran persia,makanan,2026-04-28 09:09:37.369057,31000
lari berkelompok dengan klub lari,sosial,2026-04-28 09:09:37.369057,222000
goorin bros. topi modis untuk gaya,belanja,2026-04-28 09:09:37.369057,485000
hadiah ulang tahun untuk ibu,sosial,2026-04-28 09:09:37.369057,79000
belajar untuk mendapatkan gelar di bidang kimia,pendidikan,2026-04-28 09:09:37.369057,269000
malam hidangan penutup seadanya bersama rombongan,sosial,2026-04-28 09:09:37.369057,82000
menyelesaikan sertifikasi dalam administrasi bisnis,pendidikan,2026-04-29 09:09:37.369057,340000
hadiah untuk pernikahan teman,sosial,2026-04-29 09:09:37.369057,182000
sewa sepeda wisata,travel,2026-04-29 09:09:37.369057,325000
gaun kasual dari mango,belanja,2026-04-30 09:09:37.369057,330000
mengejutkan seseorang dengan sampel kue gourmet,sosial,2026-04-30 09:09:37.369057,299000
mengirim keranjang hadiah popcorn gourmet,sosial,2026-04-30 09:09:37.369057,75000
membeli sepasang selongsong kompresi untuk lari,kesehatan dan perawatan diri,2026-04-30 09:09:37.369057,15000
memesan program bimbingan kesehatan dan kebugaran,kesehatan dan perawatan diri,2026-04-30 09:09:37.369057,324000
kursus microsoft azure,pendidikan,2026-04-30 09:09:37.369057,268000
berlangganan crunchyroll,hiburan,2026-04-30 09:09:37.369057,128000
losion wajah burt's bees,kesehatan dan perawatan diri,2026-05-01 09:09:37.369057,382000
tiket pertunjukan teater,hiburan,2026-05-02 09:09:37.369057,71000
aksesoris mode,belanja,2026-05-03 09:09:37.369057,66000
aplikasi berbagi perjalanan untuk perjalanan kerja,transportasi,2026-05-04 09:09:37.369057,216000
pembicaraan inspiratif oleh brené brown,pendidikan,2026-05-05 09:09:37.369057,315000
tiket masuk sea world,travel,2026-05-05 09:09:37.369057,497000
barang roti,makanan,2026-05-06 09:09:37.369057,30000
gaun pengantin dari toko pengantin,belanja,2026-05-06 09:09:37.369057,231000
berlangganan internet,tagihan,2026-05-07 09:09:37.369057,404000
menghadiri seminar tentang keuangan perusahaan,pendidikan,2026-05-07 09:09:37.369057,383000
berlangganan majalah pc gamer,hiburan,2026-05-07 09:09:37.369057,292000
membuat keramik di kelas sanggar seni,pendidikan,2026-05-07 09:09:37.369057,183000
beli sepeda statis,kesehatan dan perawatan diri,2026-05-09 09:09:37.369057,350000
malam teman di pub lokal,sosial,2026-05-11 09:09:37.369057,212000
biaya balik nama kendaraan,lainnya,2026-05-11 09:09:37.369057,62000
berlangganan kursus fotografi online,pendidikan,2026-05-11 09:09:37.369057,34000
tunjangan untuk perjalanan berkemah di luar ruangan,travel,2026-05-12 09:09:37.369057,447000
membeli scrub eksfoliasi dari st. ives,kesehatan dan perawatan diri,2026-05-13 09:09:37.369057,84000
tiket ke pameran seni,hiburan,2026-05-13 09:09:37.369057,196000
hadiah pertunangan untuk sepupu,sosial,2026-05-13 09:09:37.369057,191000
membeli kursus peningkatan kesehatan,kesehatan dan perawatan diri,2026-05-15 09:09:37.369057,467000
atasan yoga dari athleta,belanja,2026-05-15 09:09:37.369057,190000
ramen gourmet dari toko tersembunyi,makanan,2026-05-16 09:09:37.369057,33000
berlangganan pameran kesombongan,hiburan,2026-05-16 09:09:37.369057,114000
naik perahu melintasi sungai,transportasi,2026-05-17 09:09:37.369057,367000
menghadiahkan tas jinjing yang dipersonalisasi,sosial,2026-05-17 09:09:37.369057,217000
tarif feri ke resor terdekat,transportasi,2026-05-17 09:09:37.369057,248000
festival budaya bersama masyarakat,sosial,2026-05-17 09:09:37.369057,193000
membeli krim wajah pencerah dari ole henriksen,kesehatan dan perawatan diri,2026-05-17 09:09:37.369057,396000
kas mushola,sosial,2026-05-18 09:09:37.369057,211000
pemesanan pijat kaki yang menenangkan,kesehatan dan perawatan diri,2026-05-18 09:09:37.369057,23000
anting desainer tiffany & co. untuk sentuhan kemewahan,belanja,2026-05-18 09:09:37.369057,135000
tunjangan untuk kursus terkait teknologi,pendidikan,2026-05-18 09:09:37.369057,382000
beli asam folat,kesehatan dan perawatan diri,2026-05-20 09:09:37.369057,51000
topi musim panas dari tilley,belanja,2026-05-20 09:09:37.369057,410000
membeli koleksi buku masak sehat,kesehatan dan perawatan diri,2026-05-20 09:09:37.369057,19000
rak pengering lipat dari honey-can-do,belanja,2026-05-20 09:09:37.369057,405000
membeli kamera slr digital,belanja,2026-05-21 09:09:37.369057,370000
menghadiri pertunjukan tari kontemporer,hiburan,2026-05-21 09:09:37.369057,378000
malam pizza di domino's,makanan,2026-05-21 09:09:37.369057,26000
piknik gourmet di kebun raya,makanan,2026-05-21 09:09:37.369057,43000
bepergian ke desa bersejarah,travel,2026-05-21 09:09:37.369057,406000
mangkuk pencampur keramik berkualitas tinggi dari mason cash,belanja,2026-05-21 09:09:37.369057,426000
aplikasi berbagi perjalanan untuk perjalanan singkat,transportasi,2026-05-21 09:09:37.369057,470000
perlengkapan olahraga dari lululemon,belanja,2026-05-21 09:09:37.369057,293000
tiket konser jazz,hiburan,2026-05-21 09:09:37.369057,127000
,,,
